,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
10,"CB Khedgi's Basaveshwar Science Raja Vijaysinh Commerce and Raja Jaysinh Arts College, Akkalkot",Akkalkot,Maharashtra,BCA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BCA is a 3 year full time course.
11,"Baselios Poulose Second College, Ernakulam",Piramadam,Kerala,BCA,3 years,Full time,30,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Mahatma Gandhi University, Kottayam and approved by UGC."
12,"Presentation College of Applied Sciences, Ernakulam",Puthenvelikara,Kerala,B.Com Computer Application,3 years,Full time,60,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Mahatma Gandhi University, Kottayam."
13,"Presentation College of Applied Sciences, Ernakulam",Puthenvelikara,Kerala,BCA,3 years,Full time,30,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Mahatma Gandhi University, Kottayam."
14,"ILM College of Arts and Sciences, Ernakulam",Rayamangalam,Kerala,BCA,3 years,Full time,30,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Computer Application self Financing is three years in full-time course affiliated by Mahatma Gandhi University,Kottayam and approved by UGC."
15,"Mar Elias College, Kothamangalam",Kottappady,Kerala,BCA,3 years,Full time,40,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Computer Application is three years in full-time course affiliated to Mahatma Gandhi University, Kottayam."
16,"Mar Gregorios Abdul Jaleel Arts and Science College, North Paravur",Mannam,Kerala,BCA,3 years,Full time,40,UG,,Government of Kerala,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Computer Application is three years in full time affiliated by Mahatma GandhiUniversity ,Kottayam"
17,"Mount Carmel College, Ernakulam",Varappetty,Kerala,BCA,3 years,Full time,30,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Computer Applications is a three year UG course affiliated to Mahatma Gandhi University, Kottayam."
18,"Nirmala Arts and Science College, Ernakulam",Mulanthuruthy,Kerala,BCA,3 years,Full time,,UG,1.09 lakhs,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Mahatma Gandhi University, Kottayam."
19,"Siena College of Professional Studies, Edacochin",Kochi,Kerala,BCA,3 years,Full time,60,UG,1.3 lakhs,,"A pass in Higher Secondary Exam (+2) or equivalent examination with Physics, Chemistry, Maths or Computer Science.","This is a full-time three-year course affiliated to Mahatma Gandhi University, Kottayam."
20,"SNGIST Arts and Science College, Ernakulam",Ernakulam,Kerala,BCA,3 years,Full time,,UG,1.18 lakhs,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Mahatma Gandhi University, Kottayam."
