,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
58,"National University of Advanced Legal Studies, Kochi",Ernakulam,Kerala,Post Graduate Diploma In Cyber Law,1 year,Full time,50,Diploma,0.18 lakhs,UGC,Candidates admitted to the Post Graduate Diploma in Cyber Law should possess a Bachelor’s Degree in any stream or a Bachelors’ Degree in Law recognized by NUALS. Preference will be given to those who possess degree in law,"Post Graduate Diploma In Cyber Law is a full-time one years duration course offered by National University of Advanced Legal Studies, Kochi Approved by UGC."
59,"National University of Advanced Legal Studies, Kochi",Ernakulam,Kerala,Post Graduate Diploma In Medical Law And Ethics,1 year,Full time,,Diploma,,UGC,"Candidates admitted to the Post Graduate Diploma in Medical Law and Ethics should possess a Bachelor’s Degree of a recognized University in any stream. Those who possess a Bachelor’s Degree in any system of medicine, dentistry, nursing, pharmacy, hospital administration or a Bachelors’ Degree in Law recognized by NUALS shall be given preference.","Post Graduate Diploma In Medical Law And Ethics is a full-time one years duration course offered by National University of Advanced Legal Studies, Kochi Approved by UGC."
60,"Babu Banarasi Das University, Lucknow",Lucknow,Uttar Pradesh,BA LLB Integrated,5 years,Full time,60,UG,3.5 lakhs,UGC,"A minimum aggregate of 50% or equivalent in 10+2. CLAT score is desirable but not essential. Relaxation in qualification and reservation is as per UGC, BCI and State Govt. norms.","BA LLB is five-years full-time Integrated course offered by Babu Banarasi Das University, Lucknow and approved by Bar Council of India."
61,"Babu Banarasi Das University, Lucknow",Lucknow,Uttar Pradesh,LLM,2 years,Full time,,PG,1.4 lakhs,UGC,As per UGC/ BCI norms.,"Master of Laws (LL.M.) is Duration of 2 years (Four Semesters) program offered by Babu Banarasi Das University, Lucknow with the approval of Bar Council of India."
62,"ICFAI University, Dehradun",Selakui,Uttarakhand,BA LLB Hons,5 years,Full time,120,UG,4.55 lakhs,(BCI) Bar Council of India,Pass in 10+2 or equivalent with 50% and above aggregate marks (best of the 5 subjects including English). Scores of Common Law Admission Test (CLAT) will be given weightage.,"BA-LL.B(Hons.) is a five year integrated program spread over 10 semesters. The Program consists of 56 courses in law and arts, 6 law electives and 8 law Honors electives. There are 5 legal internships, one at the end of each year."
63,"ICFAI University, Dehradun",Selakui,Uttarakhand,BBA LLB Hons,5 years,Full time,240,UG,4.55 lakhs,(BCI) Bar Council of India,"Pass with 50% and above aggregate marks in Class XII or equivalent (best of the 5 subjects including English).
Scores of Common Law Admission Test (CLAT) will be given weightage. Age should not be more than 20 years as on the date of admission. However, the changes if any, made to age limitation by the Bar Council of India from time to time will be followed.","Faculty of Law offers the 5-year campus-based Integrated BBA, LL.B (Hons.) Program."
64,"ICFAI University, Dehradun",Selakui,Uttarakhand,LLB,3 years,Full time,180,UG,1.61 lakhs,(BCI) Bar Council of India,"Pass with 50% and above aggregate marks in Graduation or equivalent (in any discipline). Candidates awaiting final year examination results are also eligible for admission.
Age should not be more than 30 years as on the date of Registration.","ICFAI Law School of The ICFAI University, Dehradun offers three year LL.B Program with a challenging curriculum with emphasis on theoretical and practical learning. The program is aimed to prepare the students for a wide range of career opportunities in law and alternative careers and to evolve them to serve the local, national and global communities with excellence, ...See More"
65,"ICFAI University, Dehradun",Selakui,Uttarakhand,LLM,2 years,Full time,,PG,1.7 lakhs,(BCI) Bar Council of India,Bachelor Degree in Law with 55% aggregate marks (OR) Integrated 5 year Degree program in Law with 55% aggregate marks.,"ICFAI Law School of The ICFAI University, Dehradun offers one year LL.M Program with innovative curriculum and emphasis on theoretical learning with an extensive practical approach through projects and internships."
66,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,Diploma in Media and Law,1 year,Full time,,Diploma,,,Any Graduate who has passed Graduation from any recognized University in India or a foreign university approved by Govt. of India is eligible to seek admission in Diploma Course.,"Diploma in Media and Law is one-year's full-time course in the law field. it is offered by Bharati Vidyapeeth, Pune."
67,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,Diploma in Merger and Acquisition,1 year,Full time,,Diploma,,,Any Graduate who has passed Graduation from any recognized University in India or a foreign university approved by Govt. of India is eligible to seek admission in Diploma Course.,"Diploma in Merger and Acquisition is one-year's full-time course in the law field. it is offered by Bharati Vidyapeeth, Pune."
