,place_id,sublocality_level_1,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,sublocality_level_2,route,point_of_interest,street_number,neighborhood,premise,subpremise,sublocality_level_3,postal_town,natural_feature,floor,administrative_area_level_3,postal_code_suffix,post_box,political,administrative_area_level_4
1981,ChIJK7e9K7Hq1DsRLmZLybqTP90,,Nagpur,Nagpur,Maharashtra,India,440016,,,,,,,,,,,,,,,,
1982,ChIJ6QCe_W3A1DsREMem7UF5pso,Yashwant Nagar,Nagpur,Nagpur,Maharashtra,India,440033,Sudam Nagar,,,,,,,Kasturba Layout,,,,,,,,
1983,ChIJB4hrL8auKzoRTU9t9gw8XiM,Bajaj Nagar,Gondia,Gondia,Maharashtra,India,441601,,,,,,,,,,,,,,,,
1984,ChIJ____vyLB1DsRd-Ak5pDqItk,Jaripatka,Nagpur,Nagpur,Maharashtra,India,440014,,,,,,,,,,,,,,,,
1985,ChIJsU8kxiTH1DsRfyShPUODJk8,Shantinagar Colony,Nagpur,Nagpur,Maharashtra,India,440002,,,,,,,,,,,,,,,,
1986,ChIJdTUAghzB1DsRB2q5DtNRdWo,Rajnagar,Nagpur,Nagpur,Maharashtra,India,440013,,Katol Road,,,,,,,,,,,,,,
1987,ChIJzRB4Z59cHToR0LFkvY-4zig,,Medinipur,West Medinipur,West Bengal,India,721102,,,,,,,,,,,,,,,,
1988,ChIJpRe8NQPG1DsRjnv6dI3lUyo,Lakad Ganj,Nagpur,Nagpur,Maharashtra,India,441002,,,,,,,,,,,,,,,,
1989,ChIJVypC3ZnD1DsRz0g6UXvDelg,,Nagpur,Nagpur,Maharashtra,India,441112,,,,,,,,,,,,,,,,
1990,ChIJ6QgMl6jB1DsRy3Hm55ecSv4,BUPESHNAGAR,Nagpur,Nagpur,Maharashtra,India,440013,,,,,Lonand,,,,,,,,,,,
1991,ChIJqbFxBPM8KzoRj1VkF0FJjSs,,Mohadi,Bhandara,Maharashtra,India,441909,,,,,,,,,,,,,,,,
