"medicine","medicine","medicine","medicine"
"otorhino laryngology","otorhino laryngology","otorhino laryngology","otorhino laryngology"
"obstetrics  & gyneacology","obstetrics  & gyneacology","obstetrics  & gyneacology","obstetrics  & gyneacology"
"e.n.t.","e.n.t.","e.n.t.","e.n.t."
"orthopedics","orthopedics","orthopedics","orthopedics"
"nil","nil","nil","nil"
"orthopaedics,neurology,cardiothoracic,sports,paediatrics,community,hand rehabilitation,obstetrics&gynaecology","orthopaedics,neurology,cardiothoracic,sports,paediatrics,community,hand rehabilitation,obstetrics&gynaecology","orthopaedics,neurology,cardiothoracic,sports,paediatrics,community,hand rehabilitation,obstetrics&gynaecology","orthopaedics,neurology,cardiothoracic,sports,paediatrics,community,hand rehabilitation,obstetrics&gynaecology"
"oral & maxillofacial surgery","oral & maxillofacial surgery","oral & maxillofacial surgery","oral & maxillofacial surgery"
"orthodontics & dentofacial orthopedics","orthodontics & dentofacial orthopedics","orthodontics & dentofacial orthopedics","orthodontics & dentofacial orthopedics"
"conservative dentistry & endodontics","conservative dentistry & endodontics","conservative dentistry & endodontics","conservative dentistry & endodontics"
"oral medicine  & radiology","oral medicine  & radiology","oral medicine  & radiology","oral medicine  & radiology"
"dental hygienist","dental hygienist","dental hygienist","dental hygienist"
"prosthodontics and crown & bridge","prosthodontics and crown & bridge","prosthodontics and crown & bridge","prosthodontics and crown & bridge"
"dental mechanic","dental mechanic","dental mechanic","dental mechanic"
"paedodontics & preventive dentistry","paedodontics & preventive dentistry","paedodontics & preventive dentistry","paedodontics & preventive dentistry"
"oral & maxillofacial pathology","oral & maxillofacial pathology","oral & maxillofacial pathology","oral & maxillofacial pathology"
"periodontology","periodontology","periodontology","periodontology"
"dental","dental","dental","dental"
"master of computer applications[full-time]","master of computer applications[full-time]","master of computer applications full-time","master of computer applications-full-time"
"master of computer applications","master of computer applications","master of computer applications","master of computer applications"
"master of business administration[full-time]","master of business administration[full-time]","master of business administration full-time","master of business administration-full-time"
"computer science and engineering[full-time]","computer science and engineering[full-time]","computer science and engineering full-time","computer science and engineering-full-time"
"information technology[full-time]","information technology[full-time]","information technology full-time","information technology-full-time"
"computer science and engineering[part-time]","computer science and engineering[part-time]","computer science and engineering part-time","computer science and engineering-part-time"
"electronics and communication engineering[part-time]","electronics and communication engineering[part-time]","electronics and communication engineering part-time","electronics and communication engineering-part-time"
"civil engineering[full-time]","civil engineering[full-time]","civil engineering full-time","civil engineering-full-time"
"civil engineering[part-time]","civil engineering[part-time]","civil engineering part-time","civil engineering-part-time"
"structural engineering[full-time]","structural engineering[full-time]","structural engineering full-time","structural engineering-full-time"
"structural engineering[part-time]","structural engineering[part-time]","structural engineering part-time","structural engineering-part-time"
"mechatronics[full-time]","mechatronics[full-time]","mechatronics full-time","mechatronics-full-time"
"mechanical engineering[full-time]","mechanical engineering[full-time]","mechanical engineering full-time","mechanical engineering-full-time"
"power systems engineering[full-time]","power systems engineering[full-time]","power systems engineering full-time","power systems engineering-full-time"
"mechanical engineering[part-time]","mechanical engineering[part-time]","mechanical engineering part-time","mechanical engineering-part-time"
"manufacturing engineering[full-time]","manufacturing engineering[full-time]","manufacturing engineering full-time","manufacturing engineering-full-time"
"manufacturing engineering[part-time]","manufacturing engineering[part-time]","manufacturing engineering part-time","manufacturing engineering-part-time"
"bio-medical engineering[full-time]","bio-medical engineering[full-time]","bio-medical engineering full-time","bio-medical engineering-full-time"
"vlsi design[part-time]","vlsi design[part-time]","vlsi design part-time","vlsi design-part-time"
"electronics and communication engineering[full-time]","electronics and communication engineering[full-time]","electronics and communication engineering full-time","electronics and communication engineering-full-time"
"automobile engineering[full-time]","automobile engineering[full-time]","automobile engineering full-time","automobile engineering-full-time"
"bio-technology[full-time]","bio-technology[full-time]","bio-technology full-time","bio-technology-full-time"
"thermal engineering[part-time]","thermal engineering[part-time]","thermal engineering part-time","thermal engineering-part-time"
"electrical and electronics engineering[full-time]","electrical and electronics engineering[full-time]","electrical and electronics engineering full-time","electrical and electronics engineering-full-time"
"vlsi design[full-time]","vlsi design[full-time]","vlsi design full-time","vlsi design-full-time"
"power electronics and drives[full-time]","power electronics and drives[full-time]","power electronics and drives full-time","power electronics and drives-full-time"
"power systems engineering[part-time]","power systems engineering[part-time]","power systems engineering part-time","power systems engineering-part-time"
"electrical and electronics engineering[part-time]","electrical and electronics engineering[part-time]","electrical and electronics engineering part-time","electrical and electronics engineering-part-time"
"thermal engineering[full-time]","thermal engineering[full-time]","thermal engineering full-time","thermal engineering-full-time"
"embedded system technology[full-time]","embedded system technology[full-time]","embedded system technology full-time","embedded system technology-full-time"
"applied electronics[part-time]","applied electronics[part-time]","applied electronics part-time","applied electronics-part-time"
"embedded system technology[part-time]","embedded system technology[part-time]","embedded system technology part-time","embedded system technology-part-time"
"power electronics and drives[part-time]","power electronics and drives[part-time]","power electronics and drives part-time","power electronics and drives-part-time"
"applied electronics[full-time]","applied electronics[full-time]","applied electronics full-time","applied electronics-full-time"
"homoeopathic pharmacy","homoeopathic pharmacy","homoeopathic pharmacy","homoeopathic pharmacy"
"practice of medicine","practice of medicine","practice of medicine","practice of medicine"
"materia medica","materia medica","materia medica","materia medica"
"repertory","repertory","repertory","repertory"
"organon of medicine","organon of medicine","organon of medicine","organon of medicine"
"homoeopathy","homoeopathy","homoeopathy","homoeopathy"
"obstetric & gynecology nursing","obstetric & gynecology nursing","obstetric & gynecology nursing","obstetric & gynecology nursing"
"child health nursing","child health nursing","child health nursing","child health nursing"
"mental health nursing","mental health nursing","mental health nursing","mental health nursing"
"obg nursing","obg nursing","obg nursing","obg nursing"
"i.t.","i.t.","i.t.","i.t."
"microbiology,biotechnology,biochemistry, chemistry,mathematics,physics","microbiology,biotechnology,biochemistry, chemistry,mathematics,physics","microbiology,biotechnology,biochemistry, chemistry,mathematics,physics","microbiology,biotechnology,biochemistry, chemistry,mathematics,physics"
"diploma in medical laboratory technology","diploma in medical laboratory technology","diploma in medical laboratory technology","diploma in medical laboratory technology"
"architecture","architecture","architecture","architecture"
"fisheries","fisheries","fisheries","fisheries"
"m.mgt - m","m.mgt - m","m.mgt - m","m.mgt - m"
"botany an","botany an","botany an","botany an"
"botany and plant physiology","botany and plant physiology","botany and plant physiology","botany and plant physiology"
"statistics, mathematics and computer application","statistics, mathematics and computer application","statistics, mathematics and computer application","statistics, mathematics and computer application"
"language","language","language","language"
"agricultural biology and molecular biology","agricultural biology and molecular biology","agricultural biology and molecular biology","agricultural biology and molecular biology"
"biotechnology","biotechnology","biotechnology","biotechnology"
"agricultural","agricultural","agricultural","agricultural"
"department of processing and food engineering","department of processing and food engineering","department of processing and food engineering","department of processing and food engineering"
"agriculturae engineering","agriculturae engineering","agriculturae engineering","agriculturae engineering"
"department of soil and water conservation engineering","department of soil and water conservation engineering","department of soil and water conservation engineering","department of soil and water conservation engineering"
"extension education & communication","extension education & communication","extension education & communication","extension education & communication"
"food and nutrition","food and nutrition","food and nutrition","food and nutrition"
"frm","frm","frm","frm"
"mca","mca","mca","mca"
"cse","cse","cse","cse"
"ce","ce","ce","ce"
"me","me","me","me"
"ee","ee","ee","ee"
"ece","ece","ece","ece"
"all computer subjects","all computer subjects","all computer subjects","all computer subjects"
"it and computer","it and computer","it and computer","it and computer"
"information technolody","information technolody","information technolody","information technolody"
"proffesional","proffesional","proffesional","proffesional"
"finance,marketing,hr","finance,marketing,hr","finance,marketing,hr","finance,marketing,hr"
"hotel management","hotel management","hotel management","hotel management"
"airline and tourism","airline and tourism","airline and tourism","airline and tourism"
"medical lab","medical lab","medical lab","medical lab"
"fashion technology","fashion technology","fashion technology","fashion technology"
"pharmaceutics","pharmaceutics","pharmaceutics","pharmaceutics"
"all","all","all","all"
"computer sci. & eng.","computer sci. & eng.","computer sci. & eng.","computer sci. & eng."
"civil engg.","civil engg.","civil engg.","civil engg."
"mechanical engg.","mechanical engg.","mechanical engg.","mechanical engg."
"electronics & comm. engg.","electronics & comm. engg.","electronics & comm. engg.","electronics & comm. engg."
"computer applications","computer applications","computer applications","computer applications"
"catering and culinary arts","catering and culinary arts","catering and culinary arts","catering and culinary arts"
"hotel managment","hotel managment","hotel managment","hotel managment"
"airline and tourism management","airline and tourism management","airline and tourism management","airline and tourism management"
"animation and mutlimedia","animation and mutlimedia","animation and mutlimedia","animation and mutlimedia"
"bachelor of computer","bachelor of computer","bachelor of computer","bachelor of computer"
"master of it","master of it","master of it","master of it"
"bachelor of science","bachelor of science","bachelor of science","bachelor of science"
"bachelor of comm.","bachelor of comm.","bachelor of comm.","bachelor of comm."
"master of commerce","master of commerce","master of commerce","master of commerce"
"master of business adm.","master of business adm.","master of business adm.","master of business adm."
"bachelor of business adm.","bachelor of business adm.","bachelor of business adm.","bachelor of business adm."
"master of mathematics","master of mathematics","master of mathematics","master of mathematics"
"master of chemistry","master of chemistry","master of chemistry","master of chemistry"
"master of physics","master of physics","master of physics","master of physics"
"bachelor of agriculture","bachelor of agriculture","bachelor of agriculture","bachelor of agriculture"
"28","28","28","28"
"engineering","engineering","engineering","engineering"
"computer engineering","computer engineering","computer engineering","computer engineering"
"electrical engineering","electrical engineering","electrical engineering","electrical engineering"
"electronics engineering","electronics engineering","electronics engineering","electronics engineering"
"e-security","e-security","e-security","e-security"
"agricultural engineering","agricultural engineering","agricultural engineering","agricultural engineering"
"cad/cam","cad/cam","cad/cam","cad/cam"
"robotics & mechatronics engineering","robotics & mechatronics engineering","robotics & mechatronics engineering","robotics & mechatronics engineering"
"power system","power system","power system","power system"
