,1,6,cid,name
3588,C31886,Sanskar Law College Anuppur,C31886,"SANSKAR LAW COLLEGE,ANUPPUR"
3589,C31887,Govt. Autonomous College Satna,C31887,"GOVT.COLLEGE, SATNA"
3590,C31889,shivani paramedical college,C31889,"SHIVANI PARAMADICAL INSTITUTE,SHAHDOL"
3591,C31890,"Govt. College Amarpatan, Satna",C31890,"GOVT.COLLEGE AMARPATAN,SATNA"
3592,C31892,Pentium Point Technical College,C31892,PANTIUM POINT TACHQUNICAL COLLEG REWA
3593,C31908,Vivekananda College of Nursing,C31908,Vivekanand College of Nursing
3594,C32,Christ Polytechnic Institute,C32,"Christ Polytechnic Institute, Rajkot 610"
3595,C320,Vadodara Institute of Engineering,C320,"VADODARA INSTITUTE OF ENGG., KOTAMBI, WAGHODIYA 080"
3596,C321,APMC PHARMACY COLLEGE,C321,"A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, HIMATNAGAR  207"
3597,C323,Central Institute of Plastics Engineering & Technology,C323,"CENTRAL INSTITUE OF PLASTICS ENGG. & TECH., VATVA, AHMEDABAD 052 "
3598,C32587,Aggarwal College of Education Hodal Palwal,C32587,"AGGARWAL COLLEGE OF EDUCATION, HODAL"
3599,C32589,Ferozepur Institute Of Management,C32589,Ferozpur institute of mangagement
3600,C32590,Ferozepur College of Engineering and Technology,C32590,Ferozpur College of Engg. & Technology
3601,C32596,Vaish College Of Education,C32596,"Vaish College, Bhiwani"
3602,C32597,Vaish College Of Education,C32597,"VAISH COLLEGE OF EDUCATION, Rohtak"
3603,C32598,Shanti Niketan Institute of technology,C32598,"Shanti NiketanInstitute of Technology, Ratlam"
3604,C32599,Royal Institute Of Management And Advanced Studies,C32599,"Royal Institute of Manag.& Advance Stu., Ratlam"
3605,C32600,District Homoeopathic Medical College & Hospital,C32600,"District Homeyopathy College, Katju Nagar, Ratlam"
3606,C32602,Pt. Dr. Shivshaktilal sharma Ayurvedic medical college ratlam,C32602,"Pt. Shiv Shaktilal Sharma Ayurved Medical College, Ratlam"
3607,C32604,Government Bhagat Singh College Jaora,C32604,"Govt. Shaheed Bhagat Singh College, Jaora"
3608,C32605,Shree Sai Institute of Technology,C32605,"Shri Saai Institute of Tech.New R.T.O.Office, Jaora Road, Ratlam"
3609,C32606,Govt Arts & Science College,C32606,"Govt. Arts & Science College, Ratlam"
3610,C32608,Shaheed Narendra Singh College,C32608,"Shaheed Narandra Singh College, Jaora"
3611,C32610,Government Girls' College,C32610,"Govt. Girls College, Ratlam"
3612,C32611,Dr. K. N. K. Law College,C32611,"Dr.K.N.Kataju Law College, Ratlam"
3613,C32612,"Shri Yogindra Sagar Institute of Technology & Science, Ratlam",C32612,"Yogindra Sagar Institute of Tech & Sc.Dharad, Ratlam"
3614,C32613,"Govt.degree college, sailana",C32613,"Govt. College, Sailana"
3615,C32614,Shaheed Narendra Singh College,C32614,"Shaheed Narandra Singh Education College, Jaora"
3616,C32615,"St. Stephen's College, Ratlam",C32615,"St. Stifan College, Ratlam"
3617,C32616,Swami Vivekanand Government Commerce College,C32616,"Swami Vivekanand Govt. Commerce College, Ratlam"
3618,C32617,"Guru Vashishtha College,Dewas",C32617,"Guru Vashishtha Education College, Dewas"
3619,C32620,Pacific Northwest College of Art,C32620,P.N.C.A Degree College
3620,C32622,snbtm College,C32622,S.N.B.T.M. College of Education
3621,C32623,V.T.J.M. & I.V.T.R. Degree College,C32623,V.T.J.M. & I.V.T.R. Degree College
3622,C32624,Govt Degree College,C32624,"Govt. Degree College, Chebrolu"
3623,C32627,Siddhar Sivagnaani Arts And Science College,C32627,S.S. Arts & Science College
3624,C32627,"J.D.M.V.P Co-Op Samaj's Shri. S. S. Patil Arts, Shri. Bhausaheb T. T. Salunkhe Commerce and Shri. G. R. Pandit Science College",C32627,S.S. Arts & Science College
3625,C32628,GCKVN DEGREE COLLEGE,C32628,G.C.K.V.N. Degree College
3626,C32629,Acharya Nagarjuna University PG College,C32629,ANU PG Campus Ongole
3627,C32633,Morning Star College,C32633,Morning Star College
3628,C32638,Vinukonda BEd College,C32638,Vinukonda B.Ed. College
3629,C32639,VRS & YRN College of Engineering & Technology,C32639,V.R.S. & Y.R.N. College
3630,C32640,Sri Nagarjuna Degree College,C32640,Sri Nagarjuna Degree College
3631,C32641,Nagarjuna College of Education,C32641,Nagarjuna College of Education
3632,C32642,Raghava Degree College,C32642,Raghava Degree College - Ongole
3633,C32645,NTR Memorial Degree College,C32645,N.T.R Memorial Degree College
3634,C32648,Sri Sarada Niketan Oriental College,C32648,Sri Sarada Niketanam Oriental College
3635,C32652,Bssb Degree College,C32652,"Bhagawan Sri Satya SaiBaba Degree College, Tadikonda"
3636,C32654,Fatima College Of Education,C32654,Fatima College of Education
3637,C32655,DCRM PG College. M.B.A,C32655,"D.C.R.M P.G College, MBA"
3638,C32659,ST Paul's College Of Education,C32659,St. Paul's College of Education
3639,C32662,DCRM Degree College,C32662,D.C.R.M Degree College
3640,C32666,K. Chandrakala PG College,C32666,K Chandrakala College (P.G.)
3641,C32667,Bharathi Degree College,C32667,Bharathi Degree College
3642,C32667,Bharathi Degree College,C32667,Bharathi Degree College
3643,C32669,Sri Balaji Degree College,C32669,Balaji Degree College
3644,C32670,Government College For Women,C32670,"Govt. Degree College for Women, Guntur"
3645,C32672,RVR & JC College Of Engineering(autonomous),C32672,R.V.R. & J.C. College of Engineering
3646,C32673,Prabhala Lakshminarayana Memorial Degree College,C32673,Prabhala Lakshminarayana Memorial Degree College
3647,C32674,Modern Degree College,C32674,Modern Degree College
3648,C32675,Hindu College,C32675,"Hindu College, Guntur"
3649,C32682,Omega College,C32682,Omega College of Education
3650,C32683,Gowthami Degree College,C32683,Sri Gowthami Degree College Yerragondapalem
3651,C32687,R V V N College,C32687,R.V.V.N. College
3652,C32690,GVR & S Degree College For Women,C32690,G V R & S Degree College for Women
3653,C32691,Sri Kasu Brahmananda Reddy Govt. Degree College,C32691,S.K.B.R. Govt. College
3654,C32692,Dr. K.V.K. Samskruta Kalasala,C32692,Dr.K.V.K. Sanskrit College
3655,C32694,Krishnaveni Degree College,C32694,Krishnaveni Degree College
3656,C32696,SSN Degree College,C32696,S.S.N. Degree College
3657,C32699,Tarlapadu College of Education,C32699,Tarlapadu College of Education
3658,C32701,JKC College,C32701,J.K.C. College
3659,C32702,CSR Sharma College Ground,C32702,C.S.R. Sarma College
3660,C32705,VSR & NVR College,C32705,V.S.R. & N.V.R. College
3661,C32708,Tellakula Jalayya Polisetty Somasundaram College,C32708,T.J.P.S. College
3662,C32709,Sri Majety Guravaiah Degree College,C32709,Sri Majeti Guravaiah Degree College
3663,C32715,Sri Gayatri Vidya Parishad Junior & Degree Colleges,C32715,Sri Gayatri Vidya Parishad Degree College
3664,C32716,Repalle Christian College of Education,C32716,Repalle Christian College of Education
3665,C32719,Maharaj Vijayaram Gajapathi Raj (MVGR) College of Engineering (Autonomous),C32719,M.V.G.R. Degree College
3666,C32722,Kalikamba College of Education,C32722,Kalikamba College of Education
3667,C32724,G V S M Govt Degree College,C32724,G.V.S.M. GOVT. Degree College
3668,C32725,Rayapati Venkata Ranga Rao College Of Education,C32725,R.V.R.R. College of Education
3669,C32727,ANDHRA MUSLIM COLLEGE OF INSTITUTIONS,C32727,Andhra Muslim College
3670,C32735,ABM College,C32735,A.B.M. College
3671,C32736,Indira Priyadarsni Law College,C32736,Indira Priyadarsni Law College
3672,C32737,SNBT Degree College For Womens Repalle,C32737,S.N.B.T. Degree College for Women
3673,C32740,Annie Besant college of Education,C32740,Anniebesant College of Education
3674,C32744,"T.R.R.Government Degree College,Kandukur",C32744,T.R.R. & S. Degree College
3675,C32745,RAVINDRA BHARATHI COLLEGE OF EDUCATION,C32745,Ravindra Bharathi College of Education
3676,C32747,NRK & KSR Gupta Degree College,C32747,N.R.K. & K.S.R. Gupta Degree College
3677,C32748,Govt. Degree College Kanigiri,C32748,"Govt. Degree College, Kanigiri"
3678,C32750,Vignan Degree & PG College,C32750,"Vignan Degree College, Guntur"
3679,C32752,St.Joseph's College Of Education For Women,C32752,St. Joseph's College of Education for Women
3680,C32753,VV College of Science & Technology,C32753,V.V. & M. College
3681,C32755,Sadhana Degree College,C32755,Sadhana Degree College
3682,C32756,B.B.H DEGREE COLLEGE,C32756,B.B.H Degree College
3683,C32757,PBN college,C32757,P.B.N. College
3684,C32758,Chaitanya College of Education,C32758,Navya Chaitanya College of Education
3685,C32759,SRI SUBBARAYA & NARAYANA COLLEGE,C32759,S.S. & N. College
3686,C32761,N.N.S. Vidya College of P.G. Studies,C32761,N.N.S. Vidya College of P.G. Studies
3687,C32762,Andhra Christian College,C32762,A.C.College (Day)
3688,C32762,A C College of Science and Arts,C32762,A.C.College (Day)
3689,C32763,Chaitanya College of Education,C32763,Chaitanya College of Education
3690,C32764,KLR College,C32764,K.L.R. Degree College
3691,C32765,S.A.B.R. Govt. Degree College,C32765,S.A.B.R. Govt. Degree College
3692,C32766,University College of Pharmaceutical Sciences,C32766,University College of Pharmaceutical Sciences
