computer application,DD MCA,uc_d100272,c100001
computer application,BCA+MCA,uc_d100273,c100001
time,Master of Computer Applications(Full-Time),uc_d100274,c100108
computer aopplication,computer aopplication,uc_d100275,c100109
computer application,BCA,uc_d100276,c100001
computer mathematics statistics,"COMPUTER,MATHS,STATISTICS",uc_d100277,c100110
computer,COMPULSORY,uc_d100278,c100004
computer aplli,Comp. Aplli,uc_d100279,c100111
computer related,Computer Related,uc_d100280,c100112
computer application,B.C.A.,uc_d100281,c100001
it and computer science,IT & Computer Science,uc_d100282,c100071
honors computer application,Honors in Computer Application,uc_d100283,c100113
commerce,BCA Commerce,uc_d100284,c100015
computer science,computer sc,uc_d100285,c100000
it lateral entry,IT-LATERAL ENTRY,uc_d100286,c100114
computer application,B.C.A.-Bachelor of Computer Applications,uc_d100287,c100001
information technolody,Information Technolody,uc_d100288,c100115
computer application,OK,uc_d100289,c100001
computer application,Comp. Appl.,uc_d100290,c100001
computer science,COMPUTER  SCIENCE,uc_d100291,c100000
computer application,Bachelor of Computer Application,uc_d100292,c100001
computer science entry,Computer Science(Lateral Entry),uc_d100293,c100116
computer application,"Computer Applications (ASAS, Mysore)",uc_d100294,c100001
as per univ,AS PER UNIV,uc_d100295,c100117
computer science,Computer Scienec,uc_d100296,c100000
foc cpcde dbms data structure net c and and c dtp,"FOC,C,PC,DE,DBMS,DATA STRUCTURE,.NET,C++,C,DTP",uc_d100297,c100118
computer application,ALL,uc_d100298,c100001
computer science and application,Computer Science and  Application,uc_d100299,c100034
digital electronics pc soware computer programming computer architecture and systems graphics and internet dbms statics numerical methods and algorithms unix and shell programming windows programming multimedia and e commerce,"Digital electronics,pc software,computer programming,computer architecture and systems,graphics and internet,DBMS,statics,numerical methods&algorithms,unix and shell programming,windows programming,multimedia and e-commerce",uc_d100300,c100119
sub,all sub,uc_d100301,c100120
computer science,COMP. SC.,uc_d100302,c100000
it computer,IT Computer,uc_d100303,c100121
computer application,32,uc_d100304,c100001
computer application,12,uc_d100305,c100001
it and computer,IT&COMP,uc_d100306,c100016
computer related subjects,Computer related Subjects,uc_d100307,c100122
cs lateral entry,MSc(cs)LE,uc_d100308,c100123
english,English,uc_d100309,c100063
bachelors computer application,Bachelors of  Computer Application,uc_d100310,c100124
computer application,120,uc_d100311,c100001
science,sCIENCE3,uc_d100312,c100010
it and computer,IT&Comp,uc_d100313,c100016
hons computer application,(Hons in Computer Application),uc_d100314,c100125
mpcs,MPCS,uc_d100315,c100126
computer application,BACHELOR OF COMPUTER APPLICATIONS,uc_d100316,c100001
applications,Applications,uc_d100317,c100127
computer application,M.Sc (CS),uc_d100318,c100001
computer subject,ALL COMPULSORY SUBJECT,uc_d100319,c100128
computer aoolication,Computer Aoolication,uc_d100320,c100129
as syllabus,AS BCA SYLLABUS,uc_d100321,c100130
plain,plain,uc_d100322,c100131
computer subjects,All Computer Subjects,uc_d100323,c100132
ict,ICT,uc_d100324,c100133
dca,DCA,uc_d100325,c100134
computer science and application,Computer Science & Application,uc_d100326,c100034
computer physcis mathematics hindi and english,"COMPUTER, PHYSCIS, MATHS, HINDI & ENGLISH",uc_d100327,c100135
c computer application,cComputer Application,uc_d100328,c100067
computer application,ANY,uc_d100329,c100001
gen,GEN,uc_d100330,c100052
pgdca,pgdca,uc_d100331,c100039
batchler computer,Batchler of Computer,uc_d100332,c100136
it and computer,IT & Comp,uc_d100333,c100016
computer,computerapplication,uc_d100334,c100004
computer application,Post Graduate Diploma in Computer Application,uc_d100335,c100001
computer application,Diploma Computer Application,uc_d100336,c100001
ne2rking,Networking,uc_d100337,c100137
educational information technology,Educational Information Technology,uc_d100338,c100138
vocational,Vocational,uc_d100339,c100139
computer application,MSC CS,uc_d100340,c100001
computer,All Compulsory,uc_d100341,c100004
computer,computer(BCA),uc_d100342,c100004
pgdca jan,pgdca jan,uc_d100343,c100140
subject,ALL SUBJECT,uc_d100344,c100070
computer application,4,uc_d100345,c100001
computer science,Computer Sci,uc_d100346,c100000
computer s,comp.s,uc_d100347,c100141
computer science,COMPUTRE SCIENCE,uc_d100348,c100000
it and computer,IT & COMPUTER,uc_d100349,c100016
it computer,"IT, COMPUTERS",uc_d100350,c100121
soware engineering,Software Engineering,uc_d100351,c100142
computer apllication,COMPUTER APLLICATION,uc_d100352,c100143
computer subjects,COMPUTER SUBJECTS,uc_d100353,c100132
plain,Plain,uc_d100354,c100131
computer application,diploma in computer application,uc_d100355,c100001
general subjects,GENERAL SUBJECTS,uc_d100356,c100144
csle,MSc CS LE,uc_d100357,c100145
computer application,DIPLOMA IN COMPUTER APPLICATION,uc_d100358,c100001
10 and 2,10+2,uc_d100359,c100146
saurashtra university,SAURASHTRA UNIVERSITY,uc_d100360,c100147
computer,COMPUTERSCIENCE,uc_d100361,c100004
computer application,BACHELOR OF COMPUTER APPLICATION,uc_d100362,c100001
add on course web designing,Add on Course Web  Designing,uc_d100363,c100148
capp,CAPP,uc_d100364,c100149
information technology lateral entry,Information Technology  (lateral Entry),uc_d100365,c100150
it and computer,IT&COMPUTER,uc_d100366,c100016
computer application,Computer Applicatin,uc_d100367,c100001
computer application shiii,Computer Application (Shift II),uc_d100368,c100151
computer application,Bachelor of Computer Applications,uc_d100369,c100001
computer,Compuer,uc_d100370,c100004
pgdca sub,All PGDCA Sub,uc_d100371,c100152
fundamental pc package access it trends dtp internet webpage design,"fundamental,pc package,ms access,it trends, dtp,internet webpage design",uc_d100372,c100153
computer application applicatinns,COMPUTER  APPLICATIONS APPLICATINNS,uc_d100373,c100154
computer application,01,uc_d100374,c100001
computer science g course,MSC- Comput.SC(P.G. Course,uc_d100375,c100155
pc application,PC Application,uc_d100376,c100156
science,SCIECNE,uc_d100377,c100010
dca,D.C.A.,uc_d100378,c100134
computer application,Diploma in Computer Application,uc_d100379,c100001
soware developement,Software Developement,uc_d100380,c100157
computer application,Post Graduate Diploma In Computer Application,uc_d100381,c100001
computer application,PG Diploma,uc_d100382,c100001
computer application,bca,uc_d100383,c100001
it and computer,IT&Computer,uc_d100384,c100016
copmuter,COPMUTER,uc_d100385,c100158
computer paper,ALL COMPULSORY PAPER,uc_d100386,c100159
computer,ComputerApplication,uc_d100387,c100004
computer application,B.C.A,uc_d100388,c100001
information technology,Bachelor of Science (Information Technology),uc_d100389,c100009
