,dist_id,district
598,dis_1598,The Nilgiris
599,dis_1599,Dindigul
600,dis_1600,Karur
601,dis_1601,Tiruchirappalli
602,dis_1602,Perambalur
603,dis_1603,Ariyalur
604,dis_1604,Cuddalore
605,dis_1605,Nagapattinam
606,dis_1606,Thiruvarur
607,dis_1607,Thanjavur
608,dis_1608,Pudukkottai
609,dis_1609,Sivaganga
610,dis_1610,Madurai
611,dis_1611,Theni
612,dis_1612,Virudhunagar
613,dis_1613,Ramanathapuram
614,dis_1614,Thoothukkudi
615,dis_1615,Tirunelveli
616,dis_1616,Kanniyakumari
617,dis_1617,Dharmapuri
618,dis_1618,Krishnagiri
619,dis_1619,Coimbatore
620,dis_1620,Tiruppur
621,dis_1621,Yanam
622,dis_1622,Puducherry
623,dis_1623,Mahe
624,dis_1624,Karaikal
625,dis_1625,Nicobars
626,dis_1626,North  & Middle Andaman
627,dis_1627,South Andaman
628,dis_1628,Fazilka
629,dis_1629,Pathankot
630,dis_1630,Bhim Nagar
631,dis_1631,Chatrapati Shuji Maharaj Nagar
632,dis_1632,Panchsheel Nagar
633,dis_1633,Prabuddh Nagar
634,dis_1634,Gomati
635,dis_1635,Unakoti
636,dis_1636,West Jaintia Hills
637,dis_1637,North Garo Hills
638,dis_1638,Balod
639,dis_1639,Baloda Bazar
640,dis_1640,Bemetara
641,dis_1641,Gariaband
642,dis_1642,Kondagaon
643,dis_1643,Mungeli
644,dis_1644,Surajpur
645,dis_1645,Sukma
646,dis_1646,Aravalli
647,dis_1647,Botad
648,dis_1648,Chhota Udepur
649,dis_1649,Devbhoomi Dwarka
650,dis_1650,Gir Somnath
651,dis_1651,Mahisagar
652,dis_1652,Morbi
653,dis_1653,Palghar
654,dis_1654,South East Delhi
655,dis_1655,Bhadradri Kothagudem
656,dis_1656,Jagtial
657,dis_1657,Jangaon
658,dis_1658,Jayashankar Bhoopalpally
659,dis_1659,Jogulamba Gadwal
660,dis_1660,Kamareddy
661,dis_1661,Komaram Bheem Asifabad
662,dis_1662,Mahabubabad
663,dis_1663,Mancherial
664,dis_1664,Medchal
665,dis_1665,Nagarkurnool
666,dis_1666,Nirmal
667,dis_1667,Peddapalli
668,dis_1668,Sangareddy
669,dis_1669,Siddipet
670,dis_1670,Suryapet
671,dis_1671,Vikarabad
672,dis_1672,Wanaparthy
673,dis_1673,Yadadri Bhuvanagiri
674,dis_1674,Warangal (Uraban)
