"""M.I.B.-Master of International Business""","""M.I.B.-Master of International Business""","""M.I.B.""","""Master of International Business""","""MIB"""
"""M.J.-Master of Journalism""","""M.J.-Master of Journalism""","""M.J.""","""Master of Journalism""","""MJ"""
"""M.Ch.-Master of Chirurgiae""","""M.Ch.-Master of Chirurgiae""","""M.Ch.""","""Master of Chirurgiae""","""MCh"""
"""D.M.-Doctor of Medicine""","""D.M.-Doctor of Medicine""","""D.M.""","""Doctor of Medicine""","""DM"""
"""B.Lib.I.Sc.-Bachelor of Library & Information Science""","""B.Lib.I.Sc.-Bachelor of Library & Information Science""","""B.Lib.I.Sc.""","""Bachelor of Library & Information Science""","""BLibISc"""
"""M.Mus. -Master of Music""","""M.Mus. -Master of Music""","""M.Mus. ""","""Master of Music""","""MMus """
"""B.Mus.-Bachelor of Music""","""B.Mus.-Bachelor of Music""","""B.Mus.""","""Bachelor of Music""","""BMus"""
"""B.Sc.[Sericulture]-Bachelor of Science in Sericulture""","""B.Sc.[Sericulture]-Bachelor of Science in Sericulture""","""B.Sc.[Sericulture]""","""Bachelor of Science in Sericulture""","""BSc[Sericulture]"""
"""Alankar-Alankar""","""Alankar-Alankar""","""Alankar""","""Alankar""","""Alankar"""
"""B.Dance-Bachelor of Dance""","""B.Dance-Bachelor of Dance""","""B.Dance""","""Bachelor of Dance""","""BDance"""
"""A.N.M.-Auxiliary Nurse & Midwife""","""A.N.M.-Auxiliary Nurse & Midwife""","""A.N.M.""","""Auxiliary Nurse & Midwife""","""ANM"""
"""P.G.P.-Post-Graduate Programme in Management""","""P.G.P.-Post-Graduate Programme in Management""","""P.G.P.""","""Post""","""PGP"""
"""Vachaspati-Vachaspati""","""Vachaspati-Vachaspati""","""Vachaspati""","""Vachaspati""","""Vachaspati"""
"""D.Voc.-Diploma in Vocational Education""","""D.Voc.-Diploma in Vocational Education""","""D.Voc.""","""Diploma in Vocational Education""","""DVoc"""
"""B.U.M.S.-Bachelor of Unani Medicine and Surgery""","""B.U.M.S.-Bachelor of Unani Medicine and Surgery""","""B.U.M.S.""","""Bachelor of Unani Medicine and Surgery""","""BUMS"""
"""B.O.T.-Bachelor of Occupational Therapy""","""B.O.T.-Bachelor of Occupational Therapy""","""B.O.T.""","""Bachelor of Occupational Therapy""","""BOT"""
"""M.O.T. -Master of Occupational Therapy""","""M.O.T. -Master of Occupational Therapy""","""M.O.T. ""","""Master of Occupational Therapy""","""MOT """
"""B.A.M.-Bachelor of Ayurved Medicine""","""B.A.M.-Bachelor of Ayurved Medicine""","""B.A.M.""","""Bachelor of Ayurved Medicine""","""BAM"""
"""Ayurveda Vachaspati-Ph.D in Ayurveda""","""Ayurveda Vachaspati-Ph.D in Ayurveda""","""Ayurveda Vachaspati""","""Ph.D in Ayurveda""","""Ayurveda Vachaspati"""
