"""vallabhvidyanagar taluka vallabhvidyanagar city anand""","""vallabhvidyanagar taluka vallabhvidyanagar city anand"""
"""thiruvalla""","""thiruvalla"""
"""kanjirappally""","""kanjirappally"""
"""kothamangalam""","""kothamangalam"""
"""mannoormuvattupuzha""","""mannoormuvattupuzha"""
"""perumpillichira""","""perumpillichira"""
"""changanacherry""","""changanacherry"""
"""thalayolaparambu""","""thalayolaparambu"""
"""pathanamthitta""","""pathanamthitta"""
"""kuravilangad""","""kuravilangad"""
"""angamaly""","""angamaly"""
"""moolamattom""","""moolamattom"""
"""parumala""","""parumala"""
"""pala""","""pala"""
"""manarcaud""","""manarcaud"""
"""kolenchery""","""kolenchery"""
"""kozhencherry""","""kozhencherry"""
"""perumbavoor""","""perumbavoor"""
"""nedumkandam""","""nedumkandam"""
"""thodupuzha""","""thodupuzha"""
"""elavumthitta""","""elavumthitta"""
"""tripoonithura""","""tripoonithura"""
"""nparavoor""","""nparavoor"""
"""aluva""","""aluva"""
"""konni""","""konni"""
"""peruva""","""peruva"""
"""muvattupuzha""","""muvattupuzha"""
"""thiruvalla pin""","""thiruvalla pin"""
"""idukki""","""idukki"""
"""cochin""","""cochin"""
"""idukki dist""","""idukki dist"""
"""konny""","""konny"""
"""vallabh vidyangar""","""vallabh vidyangar"""
"""ettumanoor""","""ettumanoor"""
"""kanjirapally""","""kanjirapally"""
"""uzhavoor""","""uzhavoor"""
"""vallbh vidyanagar  taluka anand""","""vallbh vidyanagar  taluka anand"""
"""tripunithura""","""tripunithura"""
"""ranni""","""ranni"""
"""cherpunkal""","""cherpunkal"""
"""vidhyanagar""","""vidhyanagar"""
"""n paravoor""","""n paravoor"""
"""alappuzha""","""alappuzha"""
"""nellikuzhy""","""nellikuzhy"""
"""erattupetta""","""erattupetta"""
"""eranakulam""","""eranakulam"""
"""rajakumari""","""rajakumari"""
"""ertnakulam""","""ertnakulam"""
"""vazhoor""","""vazhoor"""
"""piravom""","""piravom"""
"""peermade""","""peermade"""
"""kalady""","""kalady"""
"""erumely""","""erumely"""
"""kattappana""","""kattappana"""
"""marayoor""","""marayoor"""
"""kadavanthra""","""kadavanthra"""
"""thalappady""","""thalappady"""
"""mogri""","""mogri"""
"""nparavur""","""nparavur"""
"""kumily""","""kumily"""
