,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
61,61,"Adv Ramkrishnaji Rathi Law College, Washim",Washim,Maharashtra,LLM Criminal Law,2 years,Full time,,PG,,(BCI) Bar Council of India,The candidate should have passed in LLB or its equivalent,"LLM is a two year full time course affiliated by Sant Gadge Baba Amravati University, Amravati"
62,62,"Heritage Law College, Kolkata",Kolkata,West Bengal,BA LLB Hons Integrated,5 years,Full time,120.0,UG,2.62 lakhs,(BCI) Bar Council of India,"Any person passed H.S. (10+2 level) examination with minimum 45% (40% in case of S.C.; S.T.; and P.H.) marks in aggregate (taking into consideration best of 4 papers excluding WBCHSE Environment Science) will be eligible for admission.The person appearing in the (10+2 level) examination will be allowed to sit the Entrance Examination. But their admission to the BA LLB Hons Integrated, Course will be subject to the condition of successful completion of (10+2 level) Examination at the time of Counseling of the admission.","BA LLB Hons Integrated is five year duration full time course affiliated to University of Calcutta, Kolkata and approved by Bar Council of India (BCI)."
63,63,"RN Patel Ipcowala School of Law and Justice, Anand",Anand,Gujarat,BA LLB Hons Integrated,5 years,Full time,120.0,UG,,(BCI) Bar Council of India,"Students who have passed XII Science / Commerce / General Stream Examination or its equivalent examination with English as a subject, are eligible for admission.","Bachelor of Arts + Bachelor of Laws (BA LLB) (Choice Based Credit System) is five-years (10 Semesters) full-time Integrated programme in Law affiliated with Sardar Patel University, Vallabh Vidyanagar with the approval of Bar Council of India."
64,64,"RN Patel Ipcowala School of Law and Justice, Anand",Anand,Gujarat,LLB and LLM Dual Degree,4 years,Full time,60.0,PG,,,Candidate should have passed an undergraduate course (10+2+3) or (10+2+4)in any discipline from a recognized University.The candidates appeared/appearing  for final  year  of  the  qualifying examination are also eligible subject to the condition that he/she should have passed with minimum prescribed marks at the time of counseling.   ,"The Aim & objective of the RNPI School of Law and Justice is to groom future legal fraternity to become responsible and competent legal professionals. The college also believes that it should cater to the needs of different sections of the society.The academic programs are designed with this perspective. Realizing the fact that there is a dearth of competent young lawyers in the mofussil courts, RNPI School of  Law and Justice is commencing a 4 year LL.B LL.M (Dual Degree) programme from the academic year It is a dual degree course, very flexible, with an exit option after completion of three years.Students who qualify will be eligible to get a LL.B degree after completion of three years. They have a choice to opt out. Those who wish to continue will get LL.B. LL.M (Dual Degree) upon qualifying. The continuation of students in LL.M will depend on the overall performance of the students and will be based on entrance test and the recommendations of the committee constituted for this purpose and as per rules laid down by the UGC.They can also pursue LL.M within India or abroad based  on  MOUs signed with other Universities/ I"
65,65,"Sido Kanhu Murmu University, Dumka",Dumka,Jharkhand,LLB,3 years,Full time,,UG,,UGC,The candidate completed graduation from recognised university.,"LLB is a full-time three years duration course offered by Sido Kanhu Murmu University, Dumka Approved by UGC."
66,66,"Hooghly Mohsin College, Chinsurah",Hooghly,West Bengal,LLB,3 years,Full time,,UG,,UGC,The candidate completed graduation from recognised university. ,"The LL.B. course consisting of 28 papers is of three years duration. The entire course is divided into six semesters – Semester-I to Semester-VI. At the Intermediate and Final stages, students are required to attend moot courts and undergo practical training at Lok Adalat, District Courts, High Courts and the Supreme Court. Training in paralegal services is also compulsory during the last two semesters of "
67,67,"Hooghly Mohsin College, Chinsurah",Hooghly,West Bengal,LLM,2 years,Full time,,PG,,UGC,A candidate should have passed the LL.B. or an equivalent degree from a recognised University.,"LLM is a full-time two years duration course Affiliated to University of Burdwan, Bardhaman Appro"
68,68,"Shri Varshney College, Aligarh",Aligarh,Uttar Pradesh,LLB,3 years,Full time,,UG,,(BCI) Bar Council of India,The candidate should have passed in related graduate degree from recognised university.,LLB is a full-time three years duration course Affiliated to Dr. B. R. Ambedkar University Approved by Bar Council of India.
69,69,"Krishna College of Law, Bijnor",Bijnor,Uttar Pradesh,BA LLB Integrated,5 years,Full time,,UG,,(BCI) Bar Council of India,Candidate should have passed 10+2 (45% for Gen & OBC and 40% for SC/ST).,"Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law affiliated with Mahatma Jyotiba Phule Rohilkhand University, Bareilly with the approval of Bar Council of India."
70,70,"Krishna College of Law, Bijnor",Bijnor,Uttar Pradesh,LLB,3 years,Full time,,UG,,(BCI) Bar Council of India,Candidate should have passed Graduate Degree (45% for Gen & OBC and 40% for SC/ST).,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program affiliated with Mahatma Jyotiba Phule Rohilkhand University, Bareilly and approved by Bar Council of India."
71,71,"Anantha College of Law, Tirupati",Tirupati,Andhra Pradesh,BA LLB,3 years,Full time,60.0,UG,,(BCI) Bar Council of India,The candidate should have passed 10+2 in relevant stream from recognized board.,"Bachelor of Arts and Bachelor of Laws is full time five year course degree offered by Sri Venkateswara University, Tirupati and approved by Bar Council of India."
72,72,"Anantha College of Law, Tirupati",Tirupati,Andhra Pradesh,LLB,3 years,Full time,240.0,UG,0.46 lakhs,(BCI) Bar Council of India,The candidate should have passed in the relevant graduate degree.,"Bachelor of Laws is full time three year course degree offered by Sri Venkateswara University, Tirupati and approved by Bar Council of India."
