,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
4,4,"Marian College, Kuttikkanam",Kuttikkanam,Kerala,MMH,2 years,Full time,25.0,PG,,UGC,"Any Bachelor’s degree from Mahatma Gandhi University or equivalent approved by the Mahatma Gandhi University with an aggregate of 45% for Part III (main + subsidiary) or CGPA of 1.8. SC/ST candidates need only a pass in the qualifying examination.
SEBC and OEC candidates will be given a relaxation of 3% and 5 % respectively in the prescribed minimum marks.",It is four-semester government aided master’s programme in hospitality and tourism.
5,5,"Arihant College of Arts Commerce and Science, Pune",Pune,Maharashtra,B.Sc Hotel Management,3 years,Full time,,UG,,,The candidate should have passed in 10+2 with 45% marks,"B.Sc Hotel Management is three year full time course with affiliation of Savitribai Phule Pune University,Pune and approved by UGC."
6,6,"Indian Institute of Business Management, Patna",Patna,Bihar,Advance Diploma in Hospital Management,2 years,Full time,,Diploma,0.24 lakhs,,The candidate should have passed in Matric and above in any subject.,"This is a full-time two-year course affiliated to Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur."
7,7,"Indian Institute of Business Management, Patna",Patna,Bihar,Advanced Diploma in Hotel Management,2 years,Full time,,Diploma,0.24 lakhs,,The candidate should have passed in Matric and above in any subject.,"This is a full-time two-year course affiliated to Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur."
8,8,"Indian Institute of Business Management, Patna",Patna,Bihar,B.Voc Hotel Management,3 years,Full time,,UG,1.2 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur and approved by AICTE."
9,9,"Indian Institute of Business Management, Patna",Patna,Bihar,Diploma in Hospital Management,1 year,Full time,,Diploma,0.12 lakhs,,The candidate should have passed in Matric and above in any subject.,"This is a full-time one-year course affiliated to Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur."
10,10,"Indian Institute of Business Management, Patna",Patna,Bihar,Diploma in Hotel Management,1 year,Full time,,Diploma,0.12 lakhs,,The candidate should have passed in Matric and above in any subject.,"This is a full-time one-year course affiliated to Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur."
11,11,"Indian School of Business Management and Administration, Chennai",Chennai,Tamil Nadu,Advance Diploma in Aviation and Hospitality Management,1 year,Full time,,Diploma,0.15 lakhs,,The candidate should have passed in 10+2 with the relevant subject.,"This course is one year course and it is designed for students for professional development. Successful students will achieve practical skills to progress their careers within their professional careers. The course would be of interest to students from a wide-range of backgrounds and professions who are looking to further increase their knowledge and develop their careers. Duration: Fast Track:3 Months, Reg"
12,12,"Indian School of Business Management and Administration, Chennai",Chennai,Tamil Nadu,Advance Diploma in Hospitality Management,1 year,Full time,,Diploma,0.15 lakhs,,The candidate should have passed in 10+2 with the relevant subject.,"This course is one year course and it is designed for students for professional development. Successful students will achieve practical skills to progress their careers within their professional careers. The course would be of interest to students from a wide-range of backgrounds and professions who are looking to further increase their knowledge and develop their careers. Duration: Fast Track:3 Months, Reg"
13,13,"Indian School of Business Management and Administration, Chennai",Chennai,Tamil Nadu,Advance Diploma in Hotel Management,1 year,Full time,,Diploma,0.15 lakhs,,The candidate should have passed in 10+2 with the relevant subject.,This course is one year course and it is designed for students for professional development. Successful students will achieve practical skills to progress their careers within their professional careers. The course would be of interest to students from a wide-range of backgrounds and professions who are looking to further increase their knowledge and develop their car...See More
